Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch 171.000, Ch 174.000, Ch 176.000, Ch 182.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch 170.000, Ch 171.000, Ch 172.000, Ch 173.000, Ch 174.000, Ch 175.000, Ch 176.000, Ch 177.000, Ch 178.000, Ch 179.000, Ch 180.000, Ch 181.000, Ch 182.000, Ch 183.000, Ch 183.310, Ch 
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch 171.000, Ch 174.000, Ch 176.000, Ch 182.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch 
  2605,11/05/13 17:01:10,41, 265.2860,  70.5000,1009.4000, 999.9990,0
  2606,11/05/13 17:01:56,51,  0.00, 30.15,273.909,114.735,118.090,124.761,143.645,149.996,158.038,171.394,188.518,209.800,229.622,246.064,255.920,259.952,260.511,261.663,
  2607,11/05/13 17:02:19,51,  0.00, 41.85,273.917, 91.529, 94.230, 99.289,119.750,124.463,130.725,142.867,159.974,182.339,205.963,228.058,244.321,254.465,257.841,258.480,
  2608,11/05/13 17:02:42,51,  0.00, 90.00,273.948, 78.157, 79.785, 82.852,101.482,103.478,105.384,113.787,127.408,146.095,168.961,195.302,219.424,237.935,247.461,248.530,
  2609,11/05/13 17:03:05,51,  0.00,138.15,273.942, 92.376, 95.426,101.608,121.386,125.635,132.752,142.507,158.399,180.467,204.626,226.629,242.720,253.441,257.281,258.959,
  2610,11/05/13 17:03:28,51,  0.00,149.85,273.925,129.145,132.357,137.072,153.494,157.738,163.468,174.594,189.312,207.628,225.541,241.739,251.521,257.304,259.149,260.542,
  2611,11/05/13 17:03:31,41, 265.1070,  67.3200,1009.1000, 999.9990,0
  2612,11/05/13 17:04:18,51,  0.00, 30.15,273.918,102.773,107.631,115.868,135.952,143.669,151.976,165.543,183.934,204.497,226.225,243.397,253.853,258.737,260.693,261.283,
  2613,11/05/13 17:04:41,51,  0.00, 41.85,273.985, 81.549, 85.377, 91.480,111.627,115.679,122.603,135.575,153.303,175.619,201.176,225.670,243.915,254.363,257.861,257.826,
