0 1 020 4.16 06 06 09
0 2 13 11 05 191.706 156.530 290.000  -0.005   0.000 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
0 5  0.7938E-02 0.2178E+02 -.1333E+02 0.71322E-01 -.1335E-01 -.8702E-01 0.4509E+00 0.28327E-02 251.596 249.963   2.750
0 6 0000   1.000 223.150
1 13 11 05 03 00 26 62    2    0 305.80 306.96 276.95 266.36 191.77 156.53 467451 562519 568193 655558
2    1 13 11 05 03 00 26 62   0.533   0.0050  16.20  15.13  -1.00 330548 407163
2    2 13 11 05 03 00 46 38   0.535   0.0039  15.81  14.47  -1.00 330345 406775
3 13 11 05 03 00 26 62 10 192.61 157.52 0.997 0.997   0.503   0.0015  14.58  13.01
4    1 342421 418721
4    2 339495 415973
4    3 336440 413298
4    4 332956 409563
4    5 330548 407163
4    6 333021 410016
4    7 335704 412619
4    8 338856 415407
4    9 341710 418147
4   10 330345 406775
1 13 11 05 03 01 18 73    2    0 305.80 306.96 276.91 266.34 191.77 156.53 467427 562479 568193 655583
2    1 13 11 05 03 01 18 73   0.519   0.0045  15.86  14.82  -1.00 330370 406961
2    2 13 11 05 03 01 38 46   0.525   0.0058  16.38  15.57  -1.00 330644 407405
3 13 11 05 03 01 18 73 10 192.85 158.03 0.998 0.998   0.506   0.0011  14.44  12.74
4    1 342154 418228
4    2 339349 415811
4    3 336068 412659
4    4 333320 410347
4    5 330370 406961
4    6 332722 409523
4    7 335761 412829
4    8 338937 415520
4    9 341831 418462
4   10 330644 407405
1 13 11 05 03 02 10 54    2    0 305.79 306.96 276.87 266.30 191.77 156.53 467403 562463 568217 655575
2    1 13 11 05 03 02 10 54   0.533   0.0042  15.93  14.68  -1.00 330402 406880
2    2 13 11 05 03 02 30 42   0.528   0.0031  15.45  14.00  -1.00 330151 406476
3 13 11 05 03 02 10 54 10 192.56 157.40 1.000 0.998   0.501   0.0015  14.52  12.96
4    1 342081 418115
4    2 339083 415439
4    3 335955 412522
4    4 333053 409765
