0 1 020 4.16 06 06 09
0 2 13 11 05 191.710 156.520 290.000  -0.005  -0.001 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
0 5  0.7938E-02 0.2178E+02 -.1333E+02 0.71322E-01 -.1335E-01 -.8702E-01 0.4509E+00 0.28327E-02 251.596 249.963   2.750
0 6 0000   1.000 223.150
1 13 11 05 17 37 30 73    2    0 305.69 307.13 272.60 264.46 191.80 156.54 464873 559908 565801 653004
2    1 13 11 05 17 37 30 73   0.275   0.0019  11.88  12.69  -1.00 327807 405692
2    2 13 11 05 17 37 50 56   0.287   0.0053  13.28  14.73  -1.00 328543 406904
3 13 11 05 17 37 30 73 10 189.31 153.40 0.948 0.925   0.276   0.0125  15.77  18.93
4    1 343666 428679
4    2 337903 419618
4    3 333190 412918
4    4 330111 408901
4    5 327807 405692
4    6 329812 408868
4    7 332512 412441
4    8 335138 415148
4    9 338889 420346
4   10 328543 406904
1 13 11 05 17 38 22 57    2    0 305.71 307.11 272.59 264.46 191.80 156.54 464735 559779 565631 652899
2    1 13 11 05 17 38 22 57   0.306   0.0029  12.63  13.34  -1.00 328074 405950
2    2 13 11 05 17 38 42 58   0.291   0.0018  12.05  12.68  -1.00 327767 405554
3 13 11 05 17 38 22 57 10 190.27 154.49 0.986 0.980   0.267   0.0084  14.16  16.50
4    1 340311 422714
4    2 337183 418414
4    3 333490 413645
4    4 330564 409741
4    5 328074 405950
4    6 329715 408666
4    7 333926 414938
4    8 336003 416838
4    9 337992 418996
4   10 327767 405554
1 13 11 05 17 39 14 65    2    0 305.74 307.13 272.59 264.43 191.80 156.54 464646 559698 565494 652713
2    1 13 11 05 17 39 14 65   0.299   0.0012  11.94  12.36  -1.00 327630 405288
2    2 13 11 05 17 39 34 57   0.294   0.0016  12.01  12.56  -1.00 327670 405409
3 13 11 05 17 39 14 65 10 190.03 154.09 0.996 0.995   0.264   0.0081  14.03  16.34
4    1 338541 419699
4    2 336472 417589
4    3 333110 413071
4    4 330604 409846
