Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800,
   428,10/27/13 04:01:50,11,270.48, 93.32,1024.2,270.8,N,  0.00, 90.00,279.14, 23.23, 23.41, 22.24, 18.83, 18.67,114.61,151.63,238.45,264.53,267.05,267.69,266.58,
   429,10/27/13 04:02:14,11,270.48, 93.48,1024.2,270.8,N,  0.00, 90.00,279.14, 23.43, 23.33, 22.35, 19.28, 18.68,114.81,152.19,238.91,264.66,267.11,268.11,266.82,
   430,10/27/13 04:02:39,11,270.47, 93.55,1024.2,270.8,N,  0.00, 90.00,279.14, 22.80, 22.96, 21.66, 18.23, 17.68,112.81,150.76,238.65,264.37,266.91,267.63,266.65,
   431,10/27/13 04:03:04,11,270.50, 93.63,1024.3,270.6,N,  0.00, 90.00,279.14, 22.41, 22.52, 21.85, 18.35, 17.72,113.23,150.79,238.36,264.32,266.66,268.13,266.65,
   432,10/27/13 04:03:29,11,270.52, 93.72,1024.3,270.4,N,  0.00, 90.00,279.14, 22.85, 22.94, 22.00, 18.66, 17.59,113.44,150.91,238.40,264.41,266.53,267.84,266.63,
   433,10/27/13 04:03:54,11,270.50, 93.75,1024.2,270.6,N,  0.00, 90.00,279.14, 22.65, 22.63, 21.63, 18.48, 17.41,113.35,150.89,238.45,264.37,266.77,268.04,266.84,
   434,10/27/13 04:04:19,11,270.46, 93.46,1024.3,270.4,N,  0.00, 90.00,279.14, 22.53, 22.55, 21.59, 17.86, 16.95,112.05,149.92,238.11,264.84,267.12,267.83,266.41,
   435,10/27/13 04:04:44,11,270.58, 93.19,1024.2,270.5,N,  0.00, 90.00,279.14, 22.27, 22.27, 21.27, 17.81, 17.14,112.53,150.53,238.26,264.59,266.87,268.11,266.79,
   436,10/27/13 04:05:09,11,270.46, 93.04,1024.2,270.3,N,  0.00, 90.00,279.14, 22.48, 22.55, 21.52, 18.22, 17.59,112.90,150.61,238.31,264.17,266.65,267.52,266.72,
   437,10/27/13 04:05:34,11,270.50, 93.52,1024.2,270.4,N,  0.00, 90.00,279.14, 22.70, 22.73, 21.50, 18.40, 17.57,113.27,150.69,238.41,264.50,266.87,267.99,266.90,
   438,10/27/13 04:07:29,11,270.50, 93.80,1024.2,270.4,N,  0.00, 90.00,279.16, 22.20, 21.91, 21.32, 17.57, 16.42,111.54,149.38,238.07,264.51,267.14,267.56,266.75,
   439,10/27/13 04:07:54,12,270.51, 93.63,1024.2,270.09,N,  0.00, 41.85,279.16, 32.30, 31.76, 30.74, 25.92, 25.58,150.66,190.30,256.49,266.90,267.48,267.87,267.53,
   440,10/27/13 04:08:18,12,270.51, 93.63,1024.2,270.09,N,  0.00, 30.15,279.16, 42.06, 41.59, 40.07, 33.05, 33.36,177.59,214.94,262.50,267.54,267.64,267.69,267.32,
