"TOA5","GND_CR3000","CR3000","8096","CR3000.Std.25","CPU:NSAC1_GND_140919.CR3","11856","Table213"
"TIMESTAMP","RECORD","PIR_Wm2_Avg","US_Wm2_Avg","IRT_K_Avg","PIR_Wm2_Std","US_Wm2_Std","IRT_K_Std","PIR_Wm2_Max","US_Wm2_Max","IRT_K_Max","PIR_Wm2_Min","US_Wm2_Min","IRT_K_Min","SAMP20(1)","SAMP20(2)","SAMP20(3)","SAMP20(4)","SAMP20(5)","SAMP40(1)","SAMP40(2)","SAMP40(3)","SAMP40(4)","SAMP40(5)","Dome_R_O","Case_R_O","Net_mV","US_mV","IRT_V","Batt_V_Min","CR3Temp_C_Avg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Std","Std","Std","Max","Max","Max","Min","Min","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Avg"
"2015-01-13 02:00:00",165987,196.8738,-1.010404,240.5833,0.051,0.044,0.119,197,-0.931,240.9,196.7,-1.087,240.3,94.6378,93.28323,-0.112009,-0.009027593,0.6889729,94.62681,93.28323,-0.112009,-0.008358882,0.6943542,94.64875,93.30466,-0.112009,-0.008358882,0.6943542,13.28,13.36
"2015-01-13 02:01:00",165988,196.9339,-0.8338119,240.555,0.053,0.046,0.138,197.1,-0.776,241,196.8,-0.97,240.4,94.6496,93.31617,-0.1116749,-0.007355834,0.6929479,94.66058,93.31617,-0.1116749,-0.007021478,0.6917061,94.66122,93.32754,-0.1113403,-0.006687108,0.6889749,13.27,13.37
"2015-01-13 02:02:00",165989,197.0211,-0.6979681,240.5374,0.045,0.038,0.105,197.1,-0.621,240.8,196.8,-0.776,240.2,94.68318,93.32754,-0.1113403,-0.006018397,0.6970883,94.68374,93.33879,-0.1113402,-0.006018387,0.6942714,94.68374,93.34953,-0.1110058,-0.005684032,0.6876482,13.28,13.37
"2015-01-13 02:03:00",165990,197.0617,-0.6313398,240.5323,0.06,0.019,0.119,197.2,-0.582,240.9,196.9,-0.66,240.3,94.70386,93.35847,-0.11134,-0.00534967,0.6956771,94.70386,93.36918,-0.11134,-0.00534967,0.6889712,94.71561,93.39142,-0.1106716,-0.005349686,0.6956757,13.28,13.37
"2015-01-13 02:04:00",165991,197.1029,-0.636516,240.5495,0.053,0.025,0.167,197.2,-0.582,241.2,196.9,-0.66,240,94.73759,93.38067,-0.1106716,-0.005349686,0.6917846,94.73759,93.39142,-0.111006,-0.005684042,0.6989872,94.74924,93.40279,-0.1106714,-0.005349677,0.6956747,13.27,13.38
"2015-01-13 02:05:00",165992,197.1304,-0.580883,240.5484,0.041,0.03,0.115,197.2,-0.543,240.9,197,-0.66,240.3,94.76026,93.41351,-0.1106714,-0.005349677,0.6929426,94.76073,93.41399,-0.1106708,-0.004680941,0.6997333,94.76073,93.44619,-0.1103365,-0.004680941,0.6902954,13.28,13.38
"2015-01-13 02:06:00",165993,197.1623,-0.5077862,240.5588,0.042,0.031,0.151,197.3,-0.427,241,197.1,-0.543,240.3,94.76113,93.44662,-0.1103364,-0.00468094,0.6956782,94.78313,93.45734,-0.1103364,-0.004346587,0.6904625,94.79218,93.45546,-0.1103364,-0.004012234,0.6903811,13.28,13.39
"2015-01-13 02:07:00",165994,197.2307,-0.461212,240.6105,0.077,0.017,0.13,197.4,-0.427,241,197.1,-0.505,240.4,94.79218,93.46622,-0.1100021,-0.004012234,0.6942722,94.7906,93.46465,-0.110002,-0.004012233,0.6904649,94.8126,93.4754,-0.1093333,-0.004012233,0.7062777,13.27,13.4
"2015-01-13 02:08:00",165995,197.3044,-0.5291338,240.6545,0.058,0.037,0.096,197.4,-0.466,240.8,197.2,-0.582,240.5,94.8126,93.4754,-0.1093333,-0.004346585,0.6984127,94.83333,93.48493,-0.1100025,-0.004680957,0.698245,94.82234,93.49566,-0.1096681,-0.005015311,0.6983278,13.28,13.4
"2015-01-13 02:09:00",165996,197.1943,-0.6222845,240.7051,0.074,0.033,0.119,197.4,-0.582,241.1,197.1,-0.66,240.5,94.83236,93.49471,-0.1100029,-0.005015328,0.7023029,94.82137,93.51622,-0.1100029,-0.005684038,0.7049522,94.86686,93.51764,-0.110337,-0.005684029,0.7010621,13.27,13.41
"2015-01-13 02:10:00",165997,197.1042,-0.6953792,240.6725,0.05,0.033,0.122,197.3,-0.66,241.1,197,-0.737,240.5,94.85582,93.52837,-0.110337,-0.006018383,0.7103345,94.87906,93.52959,-0.1106713,-0.006352731,0.6996555,94.87906,93.54033,-0.1103369,-0.006352731,0.6929495,13.28,13.41
"2015-01-13 02:11:00",165998,197.0208,-0.7594201,240.6483,0.056,0.026,0.099,197.1,-0.737,241.1,196.9,-0.815,240.5,94.91077,93.53903,-0.111006,-0.006352751,0.7048719,94.89977,93.56055,-0.111006,-0.006687106,0.6983315,94.92181,93.58208,-0.111006,-0.006687106,0.6956822,13.28,13.42
"2015-01-13 02:12:00",165999,196.9156,-0.8131097,240.6205,0.058,0.008,0.132,197.1,-0.776,241.1,196.8,-0.815,240.4,94.92302,93.57249,-0.1106714,-0.006687094,0.7022202,94.93402,93.58327,-0.1113401,-0.007021449,0.6956798,94.93502,93.59496,-0.1113404,-0.007021468,0.6970026,13.27,13.43
"2015-01-13 02:13:00",166000,196.7999,-0.8124637,240.5672,0.056,0.01,0.107,196.9,-0.776,240.8,196.7,-0.815,240.4,94.94604,93.60575,-0.1113404,-0.007021468,0.7049503,94.9335,93.61501,-0.1110059,-0.007021455,0.6944318,94.96656,93.61501,-0.1113402,-0.007021455,0.694349,13.27,13.44
"2015-01-13 02:14:00",166001,196.7556,-0.7943525,240.5236,0.065,0.021,0.097,196.9,-0.737,240.8,196.6,-0.815,240.3,94.91898,93.63317,-0.1106718,-0.006687117,0.6954275,94.95209,93.63317,-0.1113405,-0.006687117,0.6916192,94.97363,93.6327,-0.1113407,-0.006687131,0.6904562,13.27,13.45
"2015-01-13 02:15:00",166002,196.6731,-0.7749478,240.4745,0.07,0.021,0.138,196.8,-0.737,240.9,196.5,-0.815,240.2,94.96261,93.64349,-0.1113407,-0.006687131,0.6956719,94.97363,93.64349,-0.1116751,-0.006352775,0.6890488,94.97322,93.65386,-0.1116748,-0.006687115,0.6850746,13.27,13.45
"2015-01-13 02:16:00",166003,196.5704,-0.7943516,240.4725,0.065,0.021,0.143,196.7,-0.737,240.8,196.5,-0.815,240.2,94.98424,93.66463,-0.1120092,-0.006687115,0.7035365,94.97516,93.66652,-0.1116746,-0.007021457,0.6916974,94.97516,93.67732,-0.112009,-0.007021457,0.6836669,13.27,13.46
"2015-01-13 02:17:00",166004,196.4547,-0.8519238,240.3591,0.071,0.042,0.091,196.6,-0.815,240.6,196.3,-0.931,240.2,94.97443,93.67662,-0.1120093,-0.007021476,0.6883058,94.98544,93.66581,-0.1120093,-0.007690188,0.6913689,95.02904,93.67606,-0.1126777,-0.008024527,0.686321,13.27,13.47
"2015-01-13 02:18:00",166005,196.2851,-0.9631827,240.3,0.068,0.035,0.1,196.4,-0.893,240.7,196.1,-1.048,240.1,95.01801,93.67606,-0.1133464,-0.008358882,0.6797806,95.01753,93.69717,-0.1133462,-0.008358868,0.6811041,95.03962,93.68639,-0.1136806,-0.009027577,0.6825115,13.27,13.48
"2015-01-13 02:19:00",166006,196.1505,-1.06862,240.2827,0.048,0.033,0.125,196.3,-1.009,240.6,196,-1.126,239.9,95.06171,93.69717,-0.114015,-0.009027577,0.6836706,95.09449,93.69681,-0.1140148,-0.009361919,0.6830046,95.08341,93.69681,-0.1143491,-0.009696273,0.6854882,13.27,13.49
"2015-01-13 02:20:00",166007,196.0946,-1.143651,240.2301,0.052,0.026,0.093,196.2,-1.087,240.5,196,-1.203,240,95.09416,93.6965,-0.1146829,-0.009696222,0.6904553,95.11628,93.70731,-0.1146829,-0.01003058,0.675719,95.14921,93.70706,-0.1146834,-0.01003062,0.677209,13.27,13.5
"2015-01-13 02:21:00",166008,196.0898,-1.207691,240.2218,0.048,0.014,0.119,196.2,-1.164,240.7,195.9,-1.242,240,95.14921,93.72865,-0.1146834,-0.01036497,0.6771263,95.14905,93.72845,-0.1150172,-0.01036492,0.6810971,95.18224,93.73927,-0.1146828,-0.01036492,0.6810971,13.27,13.51
"2015-01-13 02:22:00",166009,196.1165,-1.237443,240.2817,0.037,0.017,0.111,196.2,-1.203,240.5,196,-1.281,239.9,95.19549,93.75215,-0.1146828,-0.01069927,0.6916118,95.20654,93.76292,-0.1146828,-0.01069927,0.6814288,95.2176,93.76292,-0.1143485,-0.01069927,0.6836641,13.27,13.52
"2015-01-13 02:23:00",166010,196.2213,-1.251675,240.3328,0.065,0.017,0.142,196.3,-1.242,240.8,196.1,-1.281,240.1,95.21708,93.77319,-0.1140141,-0.01069927,0.6969962,95.23924,93.79481,-0.1140141,-0.01103363,0.6863165,95.21432,93.80291,-0.1133455,-0.01069928,0.683667,13.27,13.53
