0 1 020 4.16 06 06 09
0 2 14 12 10 191.363 158.000 290.000   0.006   0.015 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
0 5  0.4702E-01 0.1874E+02 -.1156E+02 0.68949E-01 -.1246E-01 -.5090E-01 0.4000E+00 0.20171E-02 248.016 246.664   2.750
0 6 0000   1.000 223.150
1 14 12 10 17 00 25 86    2    0 305.70 306.76 261.12 250.90 191.20 157.57 457695 554179 558592 648157
2    1 14 12 10 17 00 25 86   0.246   0.0017  11.23  12.28  -1.00 326067 405989
2    2 14 12 10 17 00 45 82   0.252   0.0014  11.18  12.07  -1.00 326043 405868
3 14 12 10 17 00 25 86 10 191.54 157.65 0.999 1.000   0.231   0.0011  10.80  11.89
4    1 334142 416335
4    2 332137 413749
4    3 329979 411114
4    4 327853 408681
4    5 326067 405989
4    6 328055 408689
4    7 330092 411227
4    8 332307 413943
4    9 334352 416432
4   10 326043 405868
1 14 12 10 17 01 18 19    2    0 305.70 306.75 261.12 250.93 191.20 157.57 457662 554243 558600 648278
2    1 14 12 10 17 01 18 19   0.257   0.0012  11.19  11.98  -1.00 326010 405876
2    2 14 12 10 17 01 38 10   0.246   0.0014  11.11  12.09  -1.00 325970 405941
3 14 12 10 17 01 18 19 10 191.56 157.67 0.999 1.000   0.233   0.0011  10.81  11.87
4    1 334125 416238
4    2 332121 413830
4    3 330036 411195
4    4 327764 408616
4    5 326010 405876
4    6 328071 408624
4    7 330076 411178
4    8 332258 413902
4    9 334279 416368
4   10 325970 405941
1 14 12 10 17 02 10 58    2    0 305.70 306.75 261.12 250.96 191.20 157.57 457671 554179 558608 648254
2    1 14 12 10 17 02 10 58   0.248   0.0014  11.14  12.08  -1.00 325986 405868
2    2 14 12 10 17 02 30 70   0.240   0.0014  11.03  12.08  -1.00 325929 405868
3 14 12 10 17 02 10 58 10 191.48 157.74 0.999 1.000   0.233   0.0011  10.84  11.90
4    1 334109 416287
4    2 332153 413789
4    3 329971 411154
4    4 327724 408503
4    5 325986 405868
4    6 328023 408600
4    7 330076 411178
4    8 332234 413846
4    9 334263 416319
4   10 325929 405868
1 14 12 10 17 03 03 10    2    0 305.70 306.75 261.12 251.07 191.20 157.57 457630 554146 558576 648189
2    1 14 12 10 17 03 03 10   0.253   0.0015  11.24  12.15  -1.00 325994 405876
2    2 14 12 10 17 03 23 05   0.249   0.0016  11.24  12.22  -1.00 325994 405917
3 14 12 10 17 03 03 10 10 191.63 157.79 0.999 1.000   0.235   0.0010  10.82  11.84
4    1 334142 416287
4    2 332153 413789
4    3 329947 411089
4    4 327772 408616
4    5 325994 405876
4    6 328055 408697
4    7 330108 411195
4    8 332250 413830
4    9 334255 416287
4   10 325994 405917
1 14 12 10 17 03 55 54    2    0 305.70 306.75 261.13 251.03 191.20 157.57 457679 554211 558527 648254
2    1 14 12 10 17 03 55 54   0.251   0.0012  11.13  12.00  -1.00 325986 405852
2    2 14 12 10 17 04 15 38   0.243   0.0016  11.15  12.19  -1.00 325994 405965
3 14 12 10 17 03 55 54 10 191.35 157.69 0.999 1.000   0.234   0.0011  10.85  11.91
4    1 334142 416343
4    2 332194 413757
4    3 329906 411065
4    4 327772 408568
4    5 325986 405852
4    6 328007 408673
4    7 330060 411211
4    8 332266 413902
4    9 334287 416416
4   10 325994 405965
1 14 12 10 17 04 47 73    2    0 305.70 306.75 261.13 251.05 191.20 157.57 457703 554163 558608 648157
2    1 14 12 10 17 04 47 73   0.237   0.0017  11.10  12.25  -1.00 325986 405949
2    2 14 12 10 17 05 07 53   0.237   0.0017  11.10  12.25  -1.00 325986 405949
3 14 12 10 17 04 47 73 10 191.39 157.71 0.999 1.000   0.237   0.0011  10.89  11.90
4    1 334182 416368
4    2 332194 413846
4    3 329922 411098
4    4 327772 408640
4    5 325986 405949
4    6 327999 408632
4    7 330068 411170
4    8 332234 413870
4    9 334344 416408
4   10 325986 405949
1 14 12 10 17 05 39 93    2    0 305.70 306.75 261.13 251.06 191.20 157.58 457751 554171 558584 648222
2    1 14 12 10 17 05 39 93   0.233   0.0016  11.01  12.19  -1.00 325994 405925
2    2 14 12 10 17 05 59 85   0.225   0.0018  10.99  12.31  -1.00 325986 405997
3 14 12 10 17 05 39 93 10 191.17 157.80 1.000 1.000   0.238   0.0011  10.91  11.91
4    1 334247 416416
4    2 332210 413765
4    3 329955 411081
4    4 327772 408600
4    5 325994 405925
4    6 327983 408568
4    7 330019 411162
4    8 332258 413870
4    9 334319 416416
4   10 325986 405997
1 14 12 10 17 06 32 17    2    0 305.70 306.75 261.13 251.08 191.20 157.58 457695 554155 558576 648206
2    1 14 12 10 17 06 32 17   0.240   0.0017  11.13  12.25  -1.00 326002 405941
2    2 14 12 10 17 06 52 05   0.240   0.0015  11.06  12.12  -1.00 325962 405868
3 14 12 10 17 06 32 17 10 191.33 157.73 1.000 1.000   0.236   0.0012  10.92  11.96
4    1 334230 416368
4    2 332210 413878
4    3 329963 411187
4    4 327805 408608
4    5 326002 405941
4    6 328007 408592
4    7 330019 411130
4    8 332258 413862
4    9 334360 416456
4   10 325962 405868
1 14 12 10 17 07 24 37    2    0 305.70 306.76 261.14 251.10 191.20 157.58 457727 554243 558600 648335
2    1 14 12 10 17 07 24 37   0.243   0.0012  11.02  11.99  -1.00 325970 405868
2    2 14 12 10 17 07 44 16   0.237   0.0014  10.99  12.06  -1.00 325954 405908
3 14 12 10 17 07 24 37 10 191.22 157.69 1.000 1.000   0.238   0.0012  10.95  11.97
4    1 334198 416351
4    2 332274 413902
4    3 330003 411203
4    4 327829 408705
4    5 325970 405868
4    6 327934 408543
4    7 330019 411138
4    8 332315 413919
4    9 334368 416473
4   10 325954 405908
1 14 12 10 17 08 16 53    2    0 305.70 306.76 261.14 251.09 191.20 157.58 457800 554130 558600 648181
2    1 14 12 10 17 08 16 53   0.211   0.0017  10.76  12.24  -1.00 325913 405900
2    2 14 12 10 17 08 36 36   0.218   0.0017  10.86  12.24  -1.00 325962 405900
3 14 12 10 17 08 16 53 10 190.97 157.74 1.000 1.000   0.234   0.0013  10.92  12.00
4    1 334174 416359
4    2 332331 413999
4    3 329995 411275
4    4 327845 408665
4    5 325913 405900
4    6 328007 408487
4    7 330019 411178
4    8 332242 413919
4    9 334319 416448
4   10 325962 405900
1 14 12 10 17 09 08 64    2    0 305.70 306.76 261.15 251.11 191.20 157.58 457711 554187 558608 648165
2    1 14 12 10 17 09 08 64   0.233   0.0015  10.97  12.11  -1.00 325929 405884
2    2 14 12 10 17 09 28 59   0.237   0.0015  11.02  12.13  -1.00 325954 405892
3 14 12 10 17 09 08 64 10 191.29 157.53 1.000 1.000   0.234   0.0013  10.92  12.02
4    1 334134 416368
4    2 332315 413967
4    3 329979 411203
4    4 327780 408624
4    5 325929 405884
4    6 327966 408463
4    7 330003 411106
4    8 332250 413886
4    9 334319 416489
4   10 325954 405892
1 14 12 10 17 10 01 21    2    0 305.70 306.76 261.15 251.14 191.20 157.58 457792 554195 558721 648335
2    1 14 12 10 17 10 01 21   0.225   0.0016  10.90  12.18  -1.00 325970 405925
2    2 14 12 10 17 10 21 24   0.223   0.0015  10.86  12.14  -1.00 325946 405900
3 14 12 10 17 10 01 21 10 191.26 157.86 1.000 1.000   0.237   0.0012  10.92  11.96
4    1 334198 416335
4    2 332388 413999
4    3 330044 411195
4    4 327829 408600
4    5 325970 405925
4    6 327950 408527
4    7 330068 411211
4    8 332226 413894
4    9 334287 416384
4   10 325946 405900
1 14 12 10 17 10 53 72    2    0 305.70 306.76 261.15 251.18 191.20 157.58 457719 554195 558624 648246
2    1 14 12 10 17 10 53 72   0.241   0.0014  11.06  12.10  -1.00 325978 405876
2    2 14 12 10 17 11 13 65   0.237   0.0015  11.02  12.11  -1.00 325954 405884
3 14 12 10 17 10 53 72 10 191.37 157.66 0.999 1.000   0.231   0.0013  10.87  11.99
4    1 334133 416408
4    2 332388 414072
4    3 330003 411211
4    4 327813 408640
4    5 325978 405876
4    6 327991 408543
4    7 330027 411187
4    8 332218 413862
4    9 334247 416343
4   10 325954 405884
1 14 12 10 17 11 46 17    2    0 305.70 306.76 261.16 251.20 191.20 157.58 457719 554187 558640 648270
