"TOA5","SKY_CR3000","CR3000","8097","CR3000.Std.25","CPU:NSAC1_SKY_140902.CR3","57942","Table213"
"TIMESTAMP","RECORD","PIR1_Wm2_Avg","PIR2_Wm2_Avg","BW_DD_Wm2_Avg","NIP_Wm2_Avg","PSPDS_Wm2_Avg","IRT_K_Avg","PIR1_Wm2_Std","PIR2_Wm2_Std","BW_DD_Wm2_Std","NIP_Wm2_Std","PSPDS_Wm2_Std","IRT_K_Std","PIR1_Wm2_Max","PIR2_Wm2_Max","BW_DD_Wm2_Max","NIP_Wm2_Max","PSPDS_Wm2_Max","IRT_K_Max","PIR1_Wm2_Min","PIR2_Wm2_Min","BW_DD_Wm2_Min","NIP_Wm2_Min","PSPDS_Wm2_Min","IRT_K_Min","SAMP20(1)","SAMP20(2)","SAMP20(3)","SAMP20(4)","SAMP20(5)","SAMP20(6)","SAMP20(7)","SAMP20(8)","SAMP20(9)","SAMP20(10)","SAMP40(1)","SAMP40(2)","SAMP40(3)","SAMP40(4)","SAMP40(5)","SAMP40(6)","SAMP40(7)","SAMP40(8)","SAMP40(9)","SAMP40(10)","Dome1_R_O","Case1_R_O","Dome2_R_O","Case2_R_O","Net1_mV","Net2_mV","BW_DD_mV","NIP_mV","PSPDS_mV","IRT_V","Batt_V_Min","CR3Temp_C_Avg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Avg"
"2014-10-06 08:00:00",46607,244.2899,242.876,0.3992904,1.268662,-2.965527,241.4667,1.486,1.526,0.038,0.034,0.049,8.65,246.7,245.3,0.453,1.373,-2.85,256.1,241.6,240,0.34,1.206,-3.043,230.9,33.2388,33.04408,33.69954,33.43257,-0.2433093,-0.2562902,0.003661289,0.009985332,-0.02596186,2.406377,33.2388,33.04642,33.67799,33.43257,-0.2363195,-0.2483019,0.003328444,0.01031818,-0.02529618,2.870991,33.21055,33.04642,33.6708,33.43494,-0.228997,-0.241645,0.0029956,0.01098387,-0.02496333,3.186975,13.26,8.31
"2014-10-06 08:01:00",46608,248.7227,247.4266,0.2487703,1.440595,-2.693377,248.0129,0.992,1.015,0.04,0.077,0.102,6.311,250.1,248.9,0.34,1.581,-2.542,257.5,246.8,245.4,0.189,1.331,-2.85,239.7,33.18011,33.0442,33.63027,33.43506,-0.2216749,-0.2336573,0.001997071,0.01098389,-0.02396485,3.023348,33.15898,33.03953,33.58492,33.43269,-0.2170151,-0.2273332,0.001664226,0.01164958,-0.02296632,2.78209,33.17118,33.03298,33.60687,33.42368,-0.2150175,-0.2250028,0.001997066,0.01264809,-0.02196773,2.692515,13.26,8.28
"2014-10-06 08:02:00",46609,251.2699,250.1117,0.2210595,1.629165,-2.564361,257.2192,0.58,0.624,0.013,0.04,0.025,2.702,252.1,251,0.227,1.705,-2.542,259.8,250.2,248.9,0.189,1.539,-2.619,245.5,33.17118,33.02597,33.61403,33.41894,-0.2120219,-0.22234,0.001997066,0.01298093,-0.02196773,3.266336,33.14808,33.01933,33.61441,33.40982,-0.2086948,-0.2196787,0.001997079,0.01298101,-0.02230072,3.290516,33.15277,33.00765,33.59053,33.40034,-0.2080291,-0.2176816,0.001997079,0.01364671,-0.02230072,3.091406,13.26,8.25
"2014-10-06 08:03:00",46610,252.2031,251.0712,0.2040557,1.736627,-2.458458,226.0994,0.065,0.077,0.019,0.031,0.061,12.61,252.4,251.2,0.227,1.789,-2.349,253.3,252.1,250.9,0.189,1.705,-2.58,212.1,33.12491,33.00095,33.56699,33.3959,-0.2066979,-0.2163504,0.001664234,0.01397957,-0.02163504,1.789778,33.09914,32.98928,33.55746,33.38407,-0.2060322,-0.2163504,0.001997081,0.01364672,-0.02096935,1.858816,33.0873,32.9775,33.55256,33.37448,-0.2056995,-0.2163506,0.001997082,0.01397958,-0.02030367,1.664085,13.26,8.22
"2014-10-06 08:04:00",46611,252.4819,251.5408,0.2059453,1.781691,-2.246635,223.7341,0.149,0.241,0.019,0.017,0.046,10.5,252.7,251.8,0.227,1.789,-2.195,237.9,252.2,251.1,0.189,1.705,-2.349,206.8,33.08262,32.96584,33.56686,33.36264,-0.2056995,-0.2163506,0.001997082,0.01431242,-0.01930513,1.600244,33.08028,32.95419,33.5764,33.35319,-0.2060324,-0.2163506,0.001664235,0.01431242,-0.01930513,2.454185,33.05714,32.94512,33.53853,33.34635,-0.2050339,-0.2150194,0.001997084,0.01431243,-0.0189723,2.005655,13.26,8.19
"2014-10-06 08:05:00",46612,252.6068,251.7365,0.2072051,1.777533,-2.191433,212.4922,0.16,0.149,0.019,0.02,0.012,5.816,252.8,252,0.227,1.789,-2.157,223.8,252.3,251.4,0.189,1.705,-2.195,203.8,33.0548,32.93581,33.50997,33.33453,-0.2050339,-0.2140208,0.001997084,0.01431243,-0.0189723,1.480569,33.03631,32.92671,33.49116,33.32529,-0.2056997,-0.2136881,0.001664237,0.01431244,-0.01863946,1.260096,33.03163,32.91274,33.47215,33.31584,-0.2070311,-0.2153523,0.001664237,0.01431244,-0.01897231,1.428774,13.27,8.16
"2014-10-06 08:06:00",46613,251.9928,251.2135,0.2261001,1.7817,-2.17026,218.452,0.138,0.125,0.024,0.016,0.021,5.139,252.3,251.5,0.302,1.789,-2.118,226.2,251.7,251,0.189,1.747,-2.195,211,33.02479,32.90361,33.46757,33.30657,-0.2083635,-0.2166847,0.001997094,0.01431251,-0.01863954,1.577414,33.02246,32.89431,33.49134,33.29713,-0.2096949,-0.2183489,0.001997094,0.01431251,-0.01897239,1.841938,33.02493,32.88515,33.48671,33.28782,-0.2103605,-0.2186817,0.001997093,0.01397965,-0.01897238,2.00418,13.27,8.14
"2014-10-06 08:07:00",46614,251.4466,250.8567,0.2292499,1.733177,-2.234457,225.8154,0.257,0.223,0.009,0.024,0.049,4.766,251.8,251.1,0.265,1.789,-2.157,233.1,250.9,250.4,0.227,1.705,-2.311,217.1,33.04362,32.87586,33.55334,33.28311,-0.2120247,-0.2220102,0.001997093,0.0136468,-0.01897238,2.269859,33.00169,32.87132,33.5225,33.27615,-0.2116935,-0.2223448,0.001997109,0.01364691,-0.01963824,1.986121,32.9737,32.8574,33.50585,33.27143,-0.2130249,-0.2233433,0.001997109,0.01397976,-0.01963824,1.687778,13.27,8.11
